Date,Time,Character Name,Race,Ork Leader,Trolls Killed,Orks Killed,Miles Walked,Wingwraith Seen, Songs Sung, Dinner, Drink, data point, injured name , injured race, money, data
1/11/2015,2:26:7,Peregrin "Pippin" Took,Hobbit,Shagrat,11,14,5,0,3,Petty-dwarf roots,Ent-draught,Point 000099,Boromir, Human,1.9,99
1/12/2015,13:32:58,Frodo Baggins,Hobbit,Snaga,5,12,5,8,0,Cram,Limpë,Point 000100,Legolas,Elf,72.88,100
1/12/2015,8:18:58,Samwise "Sam" Gamgee,Hobbit,Shagrat,4,10,5,4,9,Cram,Limpë,Point 000101,Legolas,Elf,25.84,101
1/12/2015,0:27:5,Gandalf the Grey,Human,Mauhúr,5,13,5,8,6,Petty-dwarf roots,Ent-draught,Point 000102,Legolas,Elf,61.4,102
1/12/2015,11:12:55,Legolas,Elf,Lurtz,2,3,5,4,1,Honey-cake,Ent-draught,Point 000103,Legolas,Elf,32.79,103
1/12/2015,11:59:18,Gimli,Dwarf,Guritz,0,14,5,8,8,Cram,Limpë,Point 000104,Legolas,Elf,1.32,104
1/12/2015,3:48:4,Aragorn (Strider),Human,Lurtz,12,0,5,3,5,Lembas,Limpë,Point 000105,Legolas,Elf,19.85,105
1/12/2015,19:41:54,Boromir, Human,Mauhúr,6,13,5,6,7,Cram,Limpë,Point 000106,Legolas,Elf,31.01,106
1/12/2015,0:33:15,Meriadoc "Merry" Brandybuck,Hobbit,Guritz,13,10,5,8,8,Cram,Ent-draught,Point 000107,Legolas,Elf,6.01,107
1/12/2015,6:37:25,Peregrin "Pippin" Took,Hobbit,Gorbag,1,1,5,0,5,Cram,Limpë,Point 000108,Legolas,Elf,82.27,108
1/13/2015,15:25:9,Frodo Baggins,Hobbit,Lugdush,11,14,5,0,6,Honey-cake,Miruvor,Point 000109,Aragorn (Strider),Human,70.01,109
1/13/2015,5:21:17,Samwise "Sam" Gamgee,Hobbit,Shagrat,13,1,5,1,1,Honey-cake,Miruvor,Point 000110,Aragorn (Strider),Human,91.34,110
1/13/2015,16:40:28,Gandalf the Grey,Human,Mauhúr,5,10,5,7,4,Honey-cake,Miruvor,Point 000111,Aragorn (Strider),Human,51.15,111
1/13/2015,4:22:8,Legolas,Elf,Lugdush,5,9,5,3,4,Honey-cake,Limpë,Point 000112,Aragorn (Strider),Human,65.95,112
1/13/2015,10:32:52,Gimli,Dwarf,Sharku,14,0,5,4,5,Cram,Miruvor,Point 000113,Aragorn (Strider),Human,46.94,113
1/13/2015,8:38:20,Aragorn (Strider),Human,Lurtz,7,11,5,0,6,Cram,Ent-draught,Point 000114,Aragorn (Strider),Human,3.23,114
1/13/2015,13:24:39,Boromir, Human,Gorbag,11,2,5,0,0,Lembas,Limpë,Point 000115,Aragorn (Strider),Human,97.69,115
1/13/2015,15:5:33,Meriadoc "Merry" Brandybuck,Hobbit,Shagrat,7,2,5,5,4,Lembas,Ent-draught,Point 000116,Aragorn (Strider),Human,93.74,116
1/13/2015,0:0:40,Peregrin "Pippin" Took,Hobbit,Murgash,12,3,5,1,4,Lembas,Miruvor,Point 000117,Aragorn (Strider),Human,9.65,117
1/14/2015,5:5:58,Frodo Baggins,Hobbit,Gothmog,13,10,4,2,2,Lembas,Miruvor,Point 000118,Aragorn (Strider),Human,85.45,118
1/14/2015,15:22:10,Samwise "Sam" Gamgee,Hobbit,Sharku,3,12,4,6,0,Honey-cake,Limpë,Point 000119,Aragorn (Strider),Human,95.2,119
1/14/2015,19:25:53,Gandalf the Grey,Human,Murgash,12,4,4,2,0,Lembas,Miruvor,Point 000120,Aragorn (Strider),Human,82.88,120
1/14/2015,14:24:1,Legolas,Elf,Lurtz,12,7,4,7,5,Cram,Miruvor,Point 000121,Aragorn (Strider),Human,24.42,121
1/14/2015,21:7:34,Gimli,Dwarf,Lurtz,2,12,4,3,6,Honey-cake,Ent-draught,Point 000122,Aragorn (Strider),Human,28.34,122
1/14/2015,20:24:36,Aragorn (Strider),Human,Shagrat,10,6,4,0,7,Lembas,Miruvor,Point 000123,Aragorn (Strider),Human,22.39,123
1/14/2015,6:25:32,Boromir, Human,Guritz,9,6,4,8,0,Cram,Ent-draught,Point 000124,Aragorn (Strider),Human,29.16,124
1/14/2015,10:24:33,Meriadoc "Merry" Brandybuck,Hobbit,Lugdush,4,3,4,8,3,Lembas,Limpë,Point 000125,Aragorn (Strider),Human,49.49,125
1/14/2015,21:24:53,Peregrin "Pippin" Took,Hobbit,Guritz,10,1,4,2,4,Lembas,Limpë,Point 000126,Aragorn (Strider),Human,25.6,126
1/15/2015,1:43:59,Frodo Baggins,Hobbit,Lurtz,0,3,5,4,8,Petty-dwarf roots,Ent-draught,Point 000127,Gimli,Dwarf,22.08,127
1/15/2015,10:33:26,Samwise "Sam" Gamgee,Hobbit,Snaga,1,1,5,0,8,Cram,Miruvor,Point 000128,Gimli,Dwarf,35.45,128
1/15/2015,3:15:50,Gandalf the Grey,Human,Gothmog,12,11,5,8,1,Cram,Limpë,Point 000129,Gimli,Dwarf,28.68,129
1/15/2015,17:51:21,Legolas,Elf,Snaga,12,5,5,1,1,Cram,Limpë,Point 000130,Gimli,Dwarf,71.93,130
1/15/2015,10:49:5,Gimli,Dwarf,Mauhúr,8,13,5,8,7,Lembas,Limpë,Point 000131,Gimli,Dwarf,9.45,131
1/15/2015,20:32:26,Aragorn (Strider),Human,Murgash,4,2,5,1,1,Cram,Limpë,Point 000132,Gimli,Dwarf,43.96,132
1/15/2015,18:42:40,Boromir, Human,Mauhúr,14,9,5,6,8,Honey-cake,Miruvor,Point 000133,Gimli,Dwarf,38.48,133
1/15/2015,4:33:28,Meriadoc "Merry" Brandybuck,Hobbit,Murgash,3,9,5,8,7,Honey-cake,Ent-draught,Point 000134,Gimli,Dwarf,27.8,134
1/15/2015,7:15:31,Peregrin "Pippin" Took,Hobbit,Murgash,5,2,5,2,2,Honey-cake,Ent-draught,Point 000135,Gimli,Dwarf,13.2,135
1/16/2015,21:51:3,Frodo Baggins,Hobbit,Lugdush,5,7,1,6,7,Cram,Ent-draught,Point 000136,Gandalf the Grey,Human,65.76,136
1/16/2015,4:36:15,Samwise "Sam" Gamgee,Hobbit,Grishnákh,6,4,1,7,0,Honey-cake,Ent-draught,Point 000137,Gandalf the Grey,Human,82.22,137
1/16/2015,20:15:26,Gandalf the Grey,Human,Mauhúr,4,9,1,4,4,Petty-dwarf roots,Miruvor,Point 000138,Gandalf the Grey,Human,44.14,138
1/16/2015,10:47:21,Legolas,Elf,Lurtz,3,2,1,6,2,Lembas,Limpë,Point 000139,Gandalf the Grey,Human,92.78,139
1/16/2015,5:34:59,Gimli,Dwarf,Sharku,8,5,1,5,1,Honey-cake,Limpë,Point 000140,Gandalf the Grey,Human,67.44,140
1/16/2015,9:11:35,Aragorn (Strider),Human,Gorbag,0,2,1,3,3,Honey-cake,Miruvor,Point 000141,Gandalf the Grey,Human,97.54,141
1/16/2015,7:34:28,Boromir, Human,Gorbag,10,5,1,2,2,Cram,Miruvor,Point 000142,Gandalf the Grey,Human,53.45,142
1/16/2015,15:40:22,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,4,11,1,5,2,Lembas,Miruvor,Point 000143,Gandalf the Grey,Human,19.55,143
1/16/2015,16:11:17,Peregrin "Pippin" Took,Hobbit,Shagrat,12,8,1,4,7,Cram,Miruvor,Point 000144,Gandalf the Grey,Human,76.48,144
1/17/2015,8:24:50,Frodo Baggins,Hobbit,Sharku,13,1,5,5,8,Cram,Ent-draught,Point 000145,Aragorn (Strider),Human,77.83,145
1/17/2015,15:15:11,Samwise "Sam" Gamgee,Hobbit,Gorbag,11,12,5,4,3,Honey-cake,Limpë,Point 000146,Aragorn (Strider),Human,38.09,146
1/17/2015,13:20:35,Gandalf the Grey,Human,Lurtz,10,14,5,0,7,Honey-cake,Miruvor,Point 000147,Aragorn (Strider),Human,73.09,147
1/17/2015,10:8:5,Legolas,Elf,Gorbag,13,10,5,0,9,Lembas,Limpë,Point 000148,Aragorn (Strider),Human,67.15,148
1/17/2015,11:39:39,Gimli,Dwarf,Gorbag,0,4,5,2,4,Cram,Ent-draught,Point 000149,Aragorn (Strider),Human,1.01,149
1/17/2015,21:37:41,Aragorn (Strider),Human,Lurtz,13,10,5,0,3,Petty-dwarf roots,Ent-draught,Point 000150,Aragorn (Strider),Human,14.34,150
1/17/2015,22:56:16,Boromir, Human,Gothmog,1,6,5,0,8,Petty-dwarf roots,Limpë,Point 000151,Aragorn (Strider),Human,47.7,151
1/17/2015,18:27:54,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,6,1,5,1,3,Honey-cake,Ent-draught,Point 000152,Aragorn (Strider),Human,34.92,152
1/17/2015,11:54:22,Peregrin "Pippin" Took,Hobbit,Lurtz,2,6,5,7,6,Lembas,Limpë,Point 000153,Aragorn (Strider),Human,14.53,153
1/18/2015,11:50:54,Frodo Baggins,Hobbit,Mauhúr,2,8,3,7,3,Honey-cake,Limpë,Point 000154,Frodo Baggins,Hobbit,34.88,154
1/18/2015,11:15:8,Samwise "Sam" Gamgee,Hobbit,Mauhúr,2,11,3,0,4,Petty-dwarf roots,Miruvor,Point 000155,Frodo Baggins,Hobbit,62.14,155
1/18/2015,5:59:35,Gandalf the Grey,Human,Lurtz,7,5,3,5,9,Cram,Limpë,Point 000156,Frodo Baggins,Hobbit,16.21,156
1/18/2015,10:0:46,Legolas,Elf,Lurtz,1,4,3,4,6,Honey-cake,Miruvor,Point 000157,Frodo Baggins,Hobbit,73.74,157
1/18/2015,0:11:23,Gimli,Dwarf,Lurtz,10,2,3,8,4,Lembas,Limpë,Point 000158,Frodo Baggins,Hobbit,0.24,158
1/18/2015,3:20:7,Aragorn (Strider),Human,Guritz,5,7,3,2,9,Petty-dwarf roots,Miruvor,Point 000159,Frodo Baggins,Hobbit,75.05,159
1/18/2015,12:41:28,Boromir, Human,Gorbag,9,14,3,3,3,Lembas,Limpë,Point 000160,Frodo Baggins,Hobbit,29.89,160
1/18/2015,7:58:42,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,6,8,3,7,7,Lembas,Ent-draught,Point 000161,Frodo Baggins,Hobbit,15.55,161
1/18/2015,18:55:45,Peregrin "Pippin" Took,Hobbit,Sharku,0,0,3,7,9,Cram,Ent-draught,Point 000162,Frodo Baggins,Hobbit,21.81,162
1/19/2015,22:50:17,Frodo Baggins,Hobbit,Gorbag,7,2,2,7,6,Lembas,Miruvor,Point 000163,Samwise "Sam" Gamgee,Hobbit,35.34,163
1/19/2015,15:30:58,Samwise "Sam" Gamgee,Hobbit,Gothmog,13,10,2,0,5,Petty-dwarf roots,Limpë,Point 000164,Samwise "Sam" Gamgee,Hobbit,69.85,164
1/19/2015,11:18:30,Gandalf the Grey,Human,Gorbag,13,10,2,3,5,Lembas,Miruvor,Point 000165,Samwise "Sam" Gamgee,Hobbit,99.03,165
1/19/2015,9:6:17,Legolas,Elf,Murgash,8,7,2,5,7,Petty-dwarf roots,Miruvor,Point 000166,Samwise "Sam" Gamgee,Hobbit,11.23,166
1/19/2015,19:51:51,Gimli,Dwarf,Sharku,14,10,2,3,9,Petty-dwarf roots,Limpë,Point 000167,Samwise "Sam" Gamgee,Hobbit,37.99,167
1/19/2015,0:19:18,Aragorn (Strider),Human,Sharku,7,13,2,5,6,Petty-dwarf roots,Ent-draught,Point 000168,Samwise "Sam" Gamgee,Hobbit,85.44,168
